Task,Noise,Classifier,Accuracy,F1_Score
Binary Classification,bp_time_ens,DT,0.8016233766233766,0.5238095238095238
Binary Classification,bp_time_ens,RF,0.8563852813852814,0.6934865900383143
Binary Classification,bp_time_ens,AB,0.8016233766233766,0.5238095238095238
Binary Classification,bp_time_ens,KN,0.9521645021645022,0.9095238095238095
Binary Classification,bp_time_ens,LDA,0.8136363636363636,0.5606060606060606
Binary Classification,bp_time_ens,SVM,0.8556277056277056,0.5384615384615384
Binary Classification,bp_time_ens,GB,0.8198051948051948,0.5238095238095238
Tri-class Classification,bp_time_ens,DT,0.7647186147186146,0.6607721780135573
Tri-class Classification,bp_time_ens,RF,0.8707792207792208,0.7641622248300234
Tri-class Classification,bp_time_ens,AB,0.7948051948051947,0.705127041588851
Tri-class Classification,bp_time_ens,KN,0.8290764790764791,0.6414029707488882
Tri-class Classification,bp_time_ens,LDA,0.6239538239538239,0.49341626964175983
Tri-class Classification,bp_time_ens,SVM,0.7929292929292929,0.6162634867155741
Tri-class Classification,bp_time_ens,GB,0.7863275613275613,0.6270528059282497
Quad-class Classification,bp_time_ens,DT,0.5240747063828864,0.4696000896547801
Quad-class Classification,bp_time_ens,RF,0.8103168409129093,0.7198012673937576
Quad-class Classification,bp_time_ens,AB,0.6481662141142167,0.48714715516300267
Quad-class Classification,bp_time_ens,KN,0.6654553436417736,0.5604017105036131
Quad-class Classification,bp_time_ens,LDA,0.4556891533746321,0.41043103357166916
Quad-class Classification,bp_time_ens,SVM,0.6902915304944474,0.5641227543649038
Quad-class Classification,bp_time_ens,GB,0.5479488805424125,0.4320353156560053
